Drillbit,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,RUL
d1h19,1.551377778,2.400933333,5.466755556,9.529844444,15.10744444,20.38966667,26.85366667,30.62122222,30.84277778,31.72933333,32.13588889,32.91133333,33.50233333,33.687,34.05644444,34.27811111,33.90844444,34.869,30.06711111,24.12033333,18.46866667,11.89385556,6.574866667,4.617188889,3.250477778,2.364022222,35.1714,119.1544444,216.0377778,224.7211111,261.7633333,290.4722222,343.6211111,393.18,430.4144444,438.9566667,452.7222222,478.1933333,487.86,484.9955556,507.9055556,509.78,492.9888889,414.3755556,332.6855556,255.3388889,147.1833333,63.72755556,23.893,15.737,7.344533333,4.034777778,2
d1h20,1.551377778,2.511744444,5.614511111,9.7147,15.58766667,20.24188889,27.51833333,30.51044444,32.54188889,32.83733333,33.39144444,33.53933333,34.35211111,34.13033333,36.97444444,33.87188889,35.42311111,36.34655556,31.50755556,25.22822222,19.87255556,13.26055556,10.30548889,6.427133333,4.543333333,3.324377778,34.10745556,117.7097778,211.8844444,220.5611111,258.3633333,285.6466667,344.5366667,412.7033333,441.9655556,448.7655556,461.1066667,484.9977778,485.7888889,500.2811111,494.13,503.1922222,509.3233333,426.6211111,341.7922222,269.42,166.0266667,93.49466667,36.18611111,14.31833333,7.344433333,1.670696667,1
d1h21,1.662178571,4.701628571,11.58785714,20.16014286,29.13564286,34.97728571,36.37821429,37.6605,38.84757143,41.83971429,41.2935,41.41228571,40.67621429,38.01657143,39.29892857,31.74785714,26.45257143,19.82764286,12.18142857,8.90455,6.340064286,3.41935,2.208335714,1.994628571,1.85215,0.664871429,52.96367857,189.7207143,233.5842857,294.225,424.1407143,509.2121429,519.0992857,539.9364286,565.3564286,575.9835714,576.8164286,486.87,344.0578571,194.5892857,72.40742857,17.18071429,11.17762143,9.202064286,8.062157143,7.910164286,5.022620714,6.846364286,5.9345,4.186749286,2.666974286,0.757096429,0
d2h1,0.74799,1.24667,3.5736875,6.1085375,8.39405,11.05355,13.879375,15.74925,16.040125,17.91,18.574875,18.74125,20.195625,20.112375,21.650125,21.31775,21.276125,21.77475,21.9825,25.016,25.473,24.268,16.996,10.4717875,3.8230375,2.0777375,25.92625,96.109875,186.19625,196.83,202.90375,210.7025,223.1775,237.21,247.55875,260.45625,266.12625,275.76625,276.05,288.6675,295.94375,293.78375,303.2,307.805,337.81125,322.08375,255.92125,180.04125,102.74825,42.73175,8.689075,1.16437,19
d2h2,0.87266625,1.7037625,3.9477,7.6045125,11.42755,15.458375,18.408875,19.156875,20.153875,21.276,21.109625,20.361875,21.65,24.018875,23.81075,23.31225,24.143375,24.642125,24.808125,26.71975,24.974625,19.156875,11.7599125,4.612575,2.49327625,0,24.8621125,104.8495,192.96375,218.07375,245.5725,258.47,267.545,269.245,274.915,282.855,289.56625,295.72,304.085,326.5,322.21375,325.985,345.35125,342.78375,339.35375,286.6175,207.66625,116.990375,48.316625,10.949775,3.26447,0,18
d2h3,1.122,1.7037625,3.82305,7.6460875,11.552175,15.209,18.28425,19.40625,20.6945,22.148625,22.024,23.312375,24.185,24.309625,23.603125,24.725,25.09925,25.306875,25.888625,27.259875,25.099125,19.156625,12.466375,6.6903125,3.5321625,1.12197625,22.7346,94.610875,192.70375,216.79875,241.88625,259.465,279.31125,282.57125,288.94875,294.835,309.35875,313.645,331.81375,333.87125,323.0725,346.21,370.8925,374.83375,371.405,304.48125,222.6425,126.673875,56.162375,13.875275,3.2368875,-0.215685,17
d2h4,1.08045,1.786875,3.9477,7.6460625,11.760025,16.58025,18.492,20.528,21.733125,23.31225,23.68625,23.727875,24.392625,24.642125,25.389875,25.057625,26.05475,26.428875,26.01325,27.21825,24.724875,18.9905,12.17555,5.8176625,3.9477125,0.12466375,22.3356125,93.665875,190.44375,215.805,240.33,262.725,274.63375,283.98875,294.32125,309.8725,312.445,320.67125,336.955,361.6375,371.40375,368.83375,399.0975,393.88875,361.635,300.235,214.01,126.65125,56.2955,15.737,3.10391875,0,16
d2h5,1.0389,1.828425,4.1139125,7.8538375,11.7600875,16.2895,19.115125,19.6555,21.026875,22.231875,23.519875,24.351125,25.22375,24.351125,25.015875,24.725,26.428875,26.09625,26.0965,26.470375,23.6445,18.284,11.75995,5.4021375,3.656825,1.4544125,27.521625,97.32775,193.8175,215.66375,238.91,258.33,271.23125,273.49875,290.84375,300.15,308.2,325.13,344.155,346.725,358.8925,359.58,383.23375,378.6025,358.54875,302.76,213.72875,132.65675,61.215875,18.928375,5.3645625,-0.08270625,15
d2h6,1.0389,1.7868625,4.0308125,7.604525,11.59385,15.9155,18.865875,19.863125,21.3175,22.273375,23.894125,25.057375,25.0575,25.389875,25.556125,24.808125,26.220875,25.63925,26.636625,25.805375,24.226375,18.40875,13.3390125,7.230475,3.6984,1.038875,23.9313625,93.64475,188.05,216.93875,239.76125,261.73125,271.93875,280.87125,292.32,311.58875,323.92875,336.78375,348.61,362.83625,366.26375,364.2075,383.2325,384.43125,361.12,295.42125,215.70125,131.965,64.008125,17.598675,4.83268625,0.07784375,14
d2h7,1.0389,1.869975,4.0308,7.6460625,11.9676375,16.538875,19.032125,20.777375,22.273375,24.018625,24.3925,25.0575,26.054625,26.927375,25.722375,26.5535,27.675375,27.05225,27.46775,28.299,25.63925,19.53075,13.2976375,6.856525,4.0308125,2.61795,25.26105,98.517625,187.48125,217.365,240.7525,262.5825,277.0425,294.78125,299.77,318.10125,330.61375,351.695,376.205,381.51875,375.34625,394.93625,407.02125,414.85,380.4875,314.44875,230.55125,138.52075,68.529625,22.25275,8.6890625,0.8984175,13
